timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-16T12:19:30.566Z,cf.iadsdk.apple.com,AAAA,false,DNS-over-HTTPS,103.133.203.236,blocked,"blocklist:nextdns-recommended,blocklist:adguard-dns-filter,blocklist:adguard-mobile-ads-filter,blocklist:hblock,blocklist:1hosts-lite,blocklist:oisd,blocklist:goodbye-ads,native:apple",,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.566Z,cf.iadsdk.apple.com,A,false,DNS-over-HTTPS,103.133.203.236,blocked,"blocklist:nextdns-recommended,blocklist:adguard-dns-filter,blocklist:adguard-mobile-ads-filter,blocklist:hblock,blocklist:1hosts-lite,blocklist:oisd,blocklist:goodbye-ads,native:apple",,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.565Z,cf.iadsdk.apple.com,HTTPS,false,DNS-over-HTTPS,103.133.203.236,blocked,"blocklist:nextdns-recommended,blocklist:adguard-dns-filter,blocklist:adguard-mobile-ads-filter,blocklist:hblock,blocklist:1hosts-lite,blocklist:oisd,blocklist:goodbye-ads,native:apple",,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.470Z,4eb3615b-91badb.test.nextdns.io,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.470Z,4eb3615b-91badb.test.nextdns.io,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.470Z,4eb3615b-91badb.test.nextdns.io,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.383Z,gateway.fe2.apple-dns.net,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,apple-dns.net,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.059Z,a68.dscg4.akamai.net,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,dscg4.akamai.net,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:30.059Z,a68.dscg4.akamai.net,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,dscg4.akamai.net,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:29.870Z,gdmf.v.aaplimg.com,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,aaplimg.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:29.870Z,gdmf.v.aaplimg.com,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,,aaplimg.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:29.788Z,gdmf.apple.com,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:29.788Z,gdmf.apple.com,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:29.788Z,gdmf.apple.com,A,false,DNS-over-HTTPS,103.133.203.236,,,US,apple.com,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:28.490Z,b5f934f2-91badb.test.nextdns.io,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:28.490Z,b5f934f2-91badb.test.nextdns.io,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:28.490Z,b5f934f2-91badb.test.nextdns.io,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:26.479Z,2d0167f6-91badb.test.nextdns.io,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:26.479Z,2d0167f6-91badb.test.nextdns.io,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:26.479Z,2d0167f6-91badb.test.nextdns.io,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:24.500Z,cae76d13-91badb.test.nextdns.io,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:24.499Z,cae76d13-91badb.test.nextdns.io,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:24.499Z,cae76d13-91badb.test.nextdns.io,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:22.490Z,396cc644-91badb.test.nextdns.io,HTTPS,false,DNS-over-HTTPS,103.133.203.236,,,,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:22.490Z,396cc644-91badb.test.nextdns.io,AAAA,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
2026-06-16T12:19:22.490Z,396cc644-91badb.test.nextdns.io,A,false,DNS-over-HTTPS,103.133.203.236,,,IN,nextdns.io,EBA0V,iPhone,iPhone 14 Pro Max,,,nextdns-ios
